employee_id,first_name,last_name,gender,date_of_birth,marital_status,email,phone_number,home_address,job_title,department,employment_status,hire_date,employment_type,work_location,salary,bank_details,health_plan,promotions
EMP-119,Bar,Bouller,Male,16-12-1985,Married,bar.bouller@company.com,(699) 9315514,84 Darwin Park,Geological Engineer,Product Management,Active,19-07-2018,Permanent,Branch,1269,54-052-0245,Medicare,Unchanged
EMP-120,Estell,Stovell,Female,23-11-2023,Married,estell.stovell@company.com,(649) 9605487,05 Arrowood Drive,VP Sales,Accounting,Active,25-04-2009,Casual,Site,4704,56-970-8725,Health Maintenance Organization,Demoted
EMP-121,Trev,Wiggett,Male,19-03-1988,Single,trev.wiggett@company.com,(766) 4132986,5 Lighthouse Bay Hill,Occupational Therapist,Engineering,Resigned,03-07-2001,Permanent,Head Office,3190,14-532-4716,Medicare,Promoted
EMP-122,Evangelina,Moth,Female,06-07-2015,Single,evangelina.moth@company.com,(246) 4943191,21 Mcguire Point,Statistician III,Business Development,Active,10-06-2024,Contract,Branch,4929,40-801-5866,Medicare,Promoted
EMP-123,Patton,Harland,Male,21-06-2014,Married,patton.harland@company.com,(385) 4210256,0 Carberry Park,Registered Nurse,Research and Development,Active,21-03-2002,Permanent,Branch,3748,02-070-4196,Health Maintenance Organization,Promoted
EMP-124,Isaak,Dudeney,Male,19-03-2010,Married,isaak.dudeney@company.com,(805) 1516343,79 Lakewood Gardens Parkway,Software Test Engineer III,Support,Active,02-09-1999,Permanent,Head Office,4581,87-807-8452,Point of Service,Unchanged
EMP-125,Marcille,Layfield,Female,07-08-1998,Married,marcille.layfield@company.com,(794) 2965271,5 Cambridge Place,Account Coordinator,Support,Resigned,16-06-1997,Permanent,Branch,6271,42-877-3612,Medicare,Unchanged
EMP-126,Elihu,Stitwell,Male,26-12-2009,Single,elihu.stitwell@company.com,(356) 7560462,266 Milwaukee Way,Biostatistician I,Engineering,On Leave,30-12-2022,Contract,Branch,2228,99-755-0293,Point of Service,Unchanged
EMP-127,Juanita,Lewcock,Female,18-09-2000,Married,juanita.lewcock@company.com,(191) 2900351,78229 Utah Lane,Structural Analysis Engineer,Training,Resigned,12-12-2018,Contract,Site,5947,65-554-0406,Exclusive Provider Organization,Unchanged
EMP-128,Wilhelmina,Larrington,Female,02-06-2023,Single,wilhelmina.larrington@company.com,(215) 4816119,9252 Dayton Trail,Librarian,Research and Development,Active,12-02-2006,Permanent,Branch,5088,54-366-2402,Medicare,Promoted
EMP-129,Trish,Greger,Female,18-07-2010,Single,trish.greger@company.com,(205) 1728363,473 Thompson Pass,Account Executive,Accounting,Resigned,23-02-2009,Contract,Terminal,2280,59-727-8022,Medicare,Unchanged
EMP-130,Buddie,Abad,Male,20-06-1987,Single,buddie.abad@company.com,(601) 1975811,0822 Doe Crossing Court,Cost Accountant,Services,Active,05-04-2006,Permanent,Terminal,4019,10-990-0296,Exclusive Provider Organization,Unchanged
EMP-131,Venus,Barnett,Female,14-05-2024,Married,venus.barnett@company.com,(174) 9711983,8 Autumn Leaf Court,Analog Circuit Design manager,Accounting,Active,08-01-2012,Contract,Head Office,1408,33-553-3663,Medicare,Promoted
EMP-132,Zilvia,Kmietsch,Female,26-01-1992,Single,zilvia.kmietsch@company.com,(874) 8195520,98 Superior Circle,Food Chemist,Sales,Active,19-07-2001,Contract,Terminal,1793,08-987-4269,High Deductible Health Plan,Unchanged
EMP-133,Devonne,McAne,Female,10-09-1988,Married,devonne.mcane@company.com,(815) 1356241,2781 Hoard Court,Nurse Practicioner,Product Management,On Leave,07-05-1996,Casual,Head Office,4657,14-916-7532,Medicare,Unchanged
EMP-134,Worden,Oseman,Male,26-09-1983,Married,worden.oseman@company.com,(299) 2642629,753 Mockingbird Junction,Senior Financial Analyst,Research and Development,Active,04-03-2003,Casual,Branch,2024,80-839-6690,Point of Service,Promoted
EMP-135,Mercedes,Backhurst,Female,14-04-1983,Married,mercedes.backhurst@company.com,(607) 4557559,3574 Eagan Junction,Human Resources Manager,Product Management,Active,15-06-2014,Casual,Terminal,1949,80-728-7226,Health Maintenance Organization,Unchanged
EMP-136,Dodi,Stebbin,Female,16-11-2016,Single,dodi.stebbin@company.com,(586) 9991073,152 Gerald Lane,Help Desk Operator,Engineering,On Leave,31-10-2021,Permanent,Branch,6672,56-804-1157,Preferred Provider Organization,Unchanged
EMP-137,Karine,Hearnshaw,Female,16-02-1990,Married,karine.hearnshaw@company.com,(783) 4355632,198 Havey Trail,Biostatistician I,Marketing,Active,25-05-2011,Permanent,Head Office,3359,48-251-7198,Medicare,Promoted
EMP-138,Tilly,Wager,Female,20-10-1999,Married,tilly.wager@company.com,(829) 7511253,3 Memorial Park,Senior Developer,Marketing,On Leave,30-05-2015,Contract,Terminal,6627,67-106-5208,Medicare,Promoted
EMP-139,Janelle,Delea,Female,28-12-2014,Married,janelle.delea@company.com,(270) 8084078,54 Derek Circle,Assistant Professor,Legal,Active,10-12-1999,Permanent,Head Office,4233,95-195-7598,Point of Service,Promoted
EMP-140,Alie,Nabbs,Female,24-05-2009,Married,alie.nabbs@company.com,(104) 5295495,4 Summer Ridge Junction,Health Coach III,Business Development,On Leave,12-02-1993,Permanent,Branch,3984,94-875-4208,High Deductible Health Plan,Unchanged
EMP-141,Shannen,Wisniewski,Female,17-01-2002,Married,shannen.wisniewski@company.com,(220) 2170820,263 Marcy Alley,Media Manager I,Sales,Active,07-02-2016,Contract,Branch,6800,59-647-7616,Exclusive Provider Organization,Promoted
EMP-142,Ethelind,Jiggins,Female,28-02-2018,Married,ethelind.jiggins@company.com,(698) 2026355,3609 Service Place,Assistant Media Planner,Services,Active,06-01-2014,Contract,Head Office,6620,97-820-9634,Medicare,Promoted
EMP-143,Codi,Poulsum,Male,14-12-2004,Married,codi.poulsum@company.com,(739) 8562724,0489 Acker Pass,Administrative Officer,Business Development,On Leave,21-01-2010,Contract,Head Office,3735,15-061-6910,Point of Service,Promoted
EMP-144,Gibb,Penvarden,Male,05-02-2003,Single,gibb.penvarden@company.com,(732) 1747312,6 Bartillon Drive,Assistant Media Planner,Accounting,Active,09-07-2010,Permanent,Head Office,6605,48-545-7722,Health Maintenance Organization,Promoted
EMP-145,Cassandra,Warrack,Female,10-07-2023,Married,cassandra.warrack@company.com,(192) 6289224,59 Hayes Street,Editor,Human Resources,Resigned,23-05-2017,Permanent,Site,4231,98-370-0096,Health Maintenance Organization,Unchanged
EMP-146,Brigida,Pales,Female,08-10-1970,Married,brigida.pales@company.com,(533) 7366608,115 Warbler Center,Office Assistant I,Training,Active,31-12-2010,Permanent,Branch,3936,43-464-8680,Point of Service,Unchanged
EMP-147,Rosalynd,Renak,Female,11-12-1995,Single,rosalynd.renak@company.com,(267) 3827973,083 Columbus Lane,Staff Scientist,Research and Development,Active,29-12-2005,Permanent,Site,4989,29-214-3026,Medicare,Unchanged
EMP-148,Carl,Hawkswell,Male,27-11-2001,Married,carl.hawkswell@company.com,(140) 9302641,8 Havey Terrace,Financial Analyst,Product Management,Active,08-02-2024,Permanent,Head Office,6990,36-921-2306,Medicare,Promoted
EMP-149,Denver,Gajewski,Male,20-12-2006,Married,denver.gajewski@company.com,(568) 4192451,1704 Debra Way,Nurse,Human Resources,Active,19-03-2008,Contract,Branch,5996,68-981-3120,Exclusive Provider Organization,Promoted
EMP-150,Brendin,Wing,Male,08-03-2011,Married,brendin.wing@company.com,(877) 9387153,67 Manitowish Court,GIS Technical Architect,Accounting,On Leave,31-08-2015,Permanent,Head Office,5552,79-363-0797,Medicare,Promoted
EMP-151,Yard,Huntriss,Male,17-03-1998,Married,yard.huntriss@company.com,(668) 2717425,84164 Anzinger Pass,Nurse Practicioner,Sales,On Leave,18-04-2014,Casual,Head Office,4922,02-726-2012,Point of Service,Promoted
EMP-152,Brinn,Handford,Female,03-07-1972,Single,brinn.handford@company.com,(997) 7531204,64039 Algoma Center,Social Worker,Sales,Active,16-04-1992,Permanent,Branch,5223,73-605-1327,Point of Service,Promoted
EMP-153,Allyce,Snary,Female,18-10-2016,Married,allyce.snary@company.com,(797) 1727749,397 Forster Alley,Sales Associate,Business Development,On Leave,26-08-1997,Contract,Site,1378,47-942-9261,Medicare,Promoted
EMP-154,Leone,Saggs,Female,20-10-1981,Single,leone.saggs@company.com,(154) 8712494,97014 Springs Park,Associate Professor,Engineering,Active,21-03-2005,Contract,Terminal,6709,85-914-2848,Point of Service,Unchanged
EMP-155,Myrle,Shewring,Female,19-03-1992,Married,myrle.shewring@company.com,(739) 2753362,115 Pleasure Park,Nuclear Power Engineer,Support,Active,28-01-2024,Contract,Site,1933,20-287-6223,Health Maintenance Organization,Promoted
EMP-156,Hortensia,Yes,Female,13-02-1984,Married,hortensia.yes@company.com,(944) 3603834,5160 Almo Place,Nurse Practicioner,Services,Active,26-07-1998,Contract,Site,5908,36-070-6405,Point of Service,Unchanged
EMP-157,Morissa,Baress,Female,02-04-1976,Single,morissa.baress@company.com,(944) 7509255,92292 Reindahl Hill,Analyst Programmer,Sales,Active,13-09-2005,Casual,Head Office,6547,14-700-1839,Medicare,Demoted
EMP-158,Arly,Givens,Female,10-04-1973,Married,arly.givens@company.com,(135) 3303497,36893 Dayton Parkway,Senior Developer,Business Development,Active,31-03-2012,Permanent,Head Office,2603,17-249-1958,Medicare,Unchanged
EMP-159,Dalt,Ginity,Male,23-05-1998,Single,dalt.ginity@company.com,(827) 7143653,53364 Huxley Place,Financial Analyst,Human Resources,Active,16-06-2021,Permanent,Head Office,3089,96-714-3290,Health Maintenance Organization,Promoted
EMP-160,Patrica,Fozard,Female,10-05-1985,Married,patrica.fozard@company.com,(941) 9547221,4 Welch Place,Media Manager IV,Human Resources,Resigned,19-03-2018,Permanent,Head Office,4543,40-350-9561,Health Maintenance Organization,Unchanged
EMP-161,Barclay,Fulkes,Male,06-06-1970,Married,barclay.fulkes@company.com,(556) 7388754,062 Goodland Plaza,Recruiting Manager,Legal,Active,13-11-2005,Permanent,Terminal,4430,84-548-1904,Health Maintenance Organization,Unchanged
EMP-162,Emily,Jenoure,Female,20-04-1979,Single,emily.jenoure@company.com,(604) 5434182,00975 Fulton Junction,Database Administrator I,Marketing,On Leave,11-06-2008,Permanent,Head Office,1879,53-129-1091,Health Maintenance Organization,Promoted
EMP-163,Stafford,Gutteridge,Male,04-06-1997,Married,stafford.gutteridge@company.com,(586) 8966437,56356 Hintze Alley,Staff Accountant I,Product Management,Active,14-05-1993,Casual,Site,3017,43-427-4537,Medicare,Unchanged
EMP-164,Gearalt,Kermannes,Male,24-11-1988,Married,gearalt.kermannes@company.com,(842) 9558078,871 Schmedeman Trail,Sales Associate,Engineering,Active,05-05-2002,Permanent,Site,5195,48-937-9524,Preferred Provider Organization,Unchanged
EMP-165,Elfrieda,Chippendale,Female,31-10-2008,Single,elfrieda.chippendale@company.com,(946) 2178768,75 Bunker Hill Circle,Help Desk Technician,Research and Development,Active,19-11-2014,Permanent,Branch,5214,23-890-8389,Exclusive Provider Organization,Unchanged
EMP-166,Karlyn,Pimlock,Female,25-05-2020,Single,karlyn.pimlock@company.com,(787) 2104592,6340 Lukken Circle,Assistant Media Planner,Services,Active,09-05-2007,Contract,Head Office,2470,79-944-8057,Exclusive Provider Organization,Unchanged
EMP-167,Tommie,Mighele,Male,25-04-2012,Married,tommie.mighele@company.com,(740) 8768116,474 Mandrake Road,Research Associate,Accounting,Resigned,27-04-2018,Permanent,Branch,1822,82-922-4742,Point of Service,Unchanged
EMP-168,Jerome,Pineaux,Male,10-12-2019,Married,jerome.pineaux@company.com,(766) 8633063,2146 Parkside Trail,Geological Engineer,Accounting,Active,29-01-2015,Casual,Site,4767,79-044-5964,Exclusive Provider Organization,Unchanged
EMP-169,Vernor,Androletti,Male,03-12-1980,Married,vernor.androletti@company.com,(746) 5332644,7 Raven Trail,Executive Secretary,Human Resources,Active,16-04-2009,Permanent,Head Office,3397,95-464-0056,Exclusive Provider Organization,Promoted
EMP-170,Olin,Hacking,Male,31-01-1992,Married,olin.hacking@company.com,(969) 5466439,09457 Dorton Junction,Associate Professor,Training,Active,05-05-1994,Permanent,Branch,5126,84-373-2020,Exclusive Provider Organization,Unchanged
EMP-171,Holmes,Howels,Male,23-10-1984,Married,holmes.howels@company.com,(671) 5437221,1675 Butterfield Park,Business Systems Development Analyst,Accounting,On Leave,22-03-1994,Contract,Terminal,4613,97-180-1084,Exclusive Provider Organization,Unchanged
EMP-172,Theobald,Plumbley,Male,01-04-2020,Married,theobald.plumbley@company.com,(922) 6251994,2802 Fairfield Circle,Safety Technician II,Sales,Active,29-12-2018,Contract,Terminal,2931,28-080-5969,Point of Service,Promoted
EMP-173,Nicola,Tooby,Female,29-01-2011,Married,nicola.tooby@company.com,(670) 3092077,8781 Buhler Center,Food Chemist,Services,On Leave,08-10-2006,Contract,Terminal,4766,71-737-8009,Point of Service,Unchanged
EMP-174,Serge,Matitiaho,Male,14-11-2024,Single,serge.matitiaho@company.com,(969) 1593845,03295 Fisk Pass,Budget/Accounting Analyst I,Marketing,On Leave,02-03-1998,Permanent,Head Office,4696,51-172-7248,High Deductible Health Plan,Unchanged
EMP-175,Lavena,Sutter,Female,18-12-2022,Married,lavena.sutter@company.com,(433) 2169617,31 Transport Place,Legal Assistant,Research and Development,Active,08-05-2005,Permanent,Branch,4674,61-086-4216,Medicare,Promoted
EMP-176,Alfreda,Haggard,Female,04-04-1989,Single,alfreda.haggard@company.com,(595) 2238001,7 Sunfield Junction,VP Sales,Marketing,Active,29-12-1996,Permanent,Site,6312,79-447-0772,Exclusive Provider Organization,Unchanged
EMP-177,Cyndy,Fudger,Female,12-08-1975,Married,cyndy.fudger@company.com,(274) 7653538,67 Lerdahl Avenue,Human Resources Manager,Human Resources,Active,03-09-1998,Contract,Site,2290,77-968-9596,High Deductible Health Plan,Demoted
EMP-178,Jodi,Umpleby,Male,19-02-2005,Married,jodi.umpleby@company.com,(603) 5685977,4 Del Mar Point,Cost Accountant,Product Management,On Leave,04-03-2015,Permanent,Terminal,2793,75-515-3044,Point of Service,Unchanged
EMP-179,Flossy,Trownson,Female,25-03-2016,Single,flossy.trownson@company.com,(779) 5431379,06724 Mcguire Plaza,Marketing Assistant,Human Resources,Active,07-11-2016,Permanent,Head Office,2884,53-884-6424,Medicare,Unchanged
EMP-180,Addia,Giannasi,Female,15-12-1995,Married,addia.giannasi@company.com,(708) 8446065,6 Harbort Park,Engineer I,Accounting,Active,01-12-1993,Contract,Head Office,4090,74-280-2541,Point of Service,Unchanged
